,tweet_preprocessing
101,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
102,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
103,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
104,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
105,gila potongan super seller cuy pantesan platform sepi super seller nggak aja â 
106,gila potongan super seller cuy pantesan platform sepi super seller nggak aja 
107,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khususâ 
108,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khusus 
109,hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak bdp
110,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
111,hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak bdp
112,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
113,investasi emas
114,investasi emas
115,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rpâ 
116,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rp 
117,rt follow akun official store ya mendapakan update terbaru terkait produk 
118,penjual yg pake super seller bukalapak hasilnya gmn yak yg super seller berasa imbasnya 
119,gw bgt tim ui ux nya shopee bukalapak
120,gw bgt tim ui ux nya shopee bukalapak
121,jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak klik â 
122,jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak klik 
123,proses komplain transaksi blipkbmcinv 
124,belanja bukalapak bayarnya pakai coba vote ðÿ 
125,belanja bukalapak bayarnya pakai coba vote 
126,profesional berhati kawan lupa kode unik tâ 
127,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm noâ 
128,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm no 
129,pastikan kali trakhir makai pilihan topuo aktivitas sehari tiâ 
130,pastikan kali trakhir makai pilihan topuo aktivitas sehari ti 
131,order pomade langsung gt gt gt bukalapak
132,order pomade langsung gt gt gt bukalapak
133,bunyi apatuh suara perut hihihihi perut laper langsung aja buka bukafood pilihan makanan neâ 
134,maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm yaâ 
135,maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm ya 
136,basi jawabanmu gaada kejelasan gaada penyelesaian
137,basi jawabanmu gaada kejelasan gaada penyelesaian
138,ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim s dâ 
139,ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim s d 
140,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak atâ 
141,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak at 
142,nggak belanja ono
143,penggemar setia bukalapak terima kasih user experience yaâ 
144,amankah nabung emas bukalapak merger perusahaan nasib emas 
145,coba cicil emas bukalapak cuan mi promo nih nih cicilan bukaemas
146,kak penarikan dana kerekning bca status pending ya 
147,kak penarikan dana kerekning bca status pending ya 
148,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
149,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
150,cek perlengkapan butuhkan harganya terbaik 
151,cek perlengkapan butuhkan harganya terbaik 
152,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
153,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
154,kelanjutan dana sayaa btuh uang bayar angsuran yaallah tâ 
155,kelanjutan dana sayaa btuh uang bayar angsâ 
156,kelanjutan dana sayaa btuh uang bayar angsuraâ 
157,kelanjutan dana sayaa btuh uang bayar angsuranâ 
158,kelanjutan dana sayaa btuh uang bayar angsuran 
159,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh keâ 
160,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh 
161,lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa
162,mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan â 
163,kelanjutan dana sayaa btuh uang bayar angsuranâ 
164,lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa
